年度,題號,分類,題幹,選項
112,33,篇章大意,What do the three stories in the reading all talk about?,(A) Who Beethoven’s true love was. (B) Who played “For Elise” the best. (C) How “For Elise” became popular. (D) Why Beethoven wrote “For Elise.”
112,36,篇章大意,What idea does Jesse Cohen talk about in the reading?,(A) Not all kinds of toys are helpful for children’s learning. (B) Parents should give their children the right toys for their age. (C) Children should learn about their gender from playing with toys. (D) We should not let gender decide which toys children can play with.
112,37,篇章大意,"In the third paragraph, why does Jesse Cohen think “this rule can be bad for children”?",(A) Children may not want to share their toys with others. (B) Children may have the wrong idea about following rules. (C) Children may not be able to learn from playing with toys. (D) Children may miss the chance to find out what they really like.
112,39,篇章大意,What is the reading mostly about?,(A) Marie Colvin’s war reports. (B) Marie Colvin’s working life. (C) Marie Colvin’s schooldays at Yale. (D) Marie Colvin’s experiences in Homs.
111,21,篇章大意,What does Tea-Rock celebrate?,(A) Their sales in 20 countries. (B) The coming out of their 20th kind of tea. (C) Their 20th year of business. (D) The opening of their 20th store in the USA.
111,24,篇章大意,Which of the following can be learned from the infographic?,(A) Most people between 18 and 24 drink coffee every day. (B) People drink less coffee when they are older. (C) More than half of the people in the USA drink coffee every day. (D) The percentage of people who drink coffee is the same for every age group.
111,25,篇章大意,Why did Darrell tell Marina to go to Pinterest?,(A) To find some examples for her homework. (B) To shop for things that are needed for art classes. (C) To meet new friends who have the same interests. (D) To share her works and tell people how they are made.
111,27,篇章大意,Which idea is talked about in the first paragraph of the reading?,(A) How you should do Tabata training. (B) What is the best time for Tabata training. (C) Who first had the idea of Tabata training. (D) How often you should do Tabata training.
111,36,篇章大意,What does Elisa Grant try to tell readers by talking about the history of Cameroon?,(A) Why speaking English is a way to get power. (B) Why English speakers in Cameroon have less power. (C) Why the two parts of Cameroon became one country. (D) Why only 20% of the people in Cameroon speak English.
110,15,篇章大意,What is this ad for?,(A) Teaching people how to use their BeautiMed points. (B) Telling people they can shop at BeautiMed on the Internet now. (C) Inviting people to share their shopping experience at e-BeautiMed. (D) Letting people know what is on sale at e-BeautiMed from 7/1 to 8/31.
110,25,篇章大意,What idea is talked about in the reading?,(A) How Teachers’ Day is celebrated now. (B) Why Teachers’ Day was celebrated at first. (C) Why Confucius was seen as a great teacher. (D) How teachers today feel about Teachers’ Day.
110,28,篇章大意,Why did the date of Teachers’ Day change?,(A) Because teachers wanted to celebrate it in autumn. (B) Because people found out the government was wrong about Confucius’s birthday. (C) Because people thought the first date was too close to Children’s Day. (D) Because the government wanted to make it the same as International Teachers’ Day.
110,29,篇章大意,Why does National Formosa Railway write this letter?,(A) There is a train ticket sale. (B) A train line will be closed in July. (C) It will open a new train line in August. (D) Some of its trains will run on different lines.
109,25,篇章大意,What does the news story say about the Yangs’ food truck?,(A) What people love about their food. (B) What made them start their business. (C) How they made delicious fried chicken. (D) How they fixed their business problems.
109,28,篇章大意,What problem is Selena Bieber trying to fix?,(A) High school lessons are too difficult. (B) Classes start too early in the morning. (C) Too many students are late for school. (D) Lunch break is too short for taking a rest.
109,30,篇章大意,Below is some information from another study. Do the ideas in Selena Bieber’s letter agree with the information?,"(A) Yes, because her letter says it is better to sleep from 11 p.m. to 8 a.m. (B) Yes, because her letter says getting up early is not helpful for learning. (C) No, because her letter says students are asked to get to school by 7:30 a.m. (D) No, because her letter says teenagers’ brains do not work well in early morning classes."
109,31,篇章大意,What can we learn about Kivalina?,(A) It is waiting to shine. (B) It has become history. (C) It is fighting for one last hope. (D) It has given up its chance to rise.
109,33,篇章大意,What does the writer think about the Inuit people in Kivalina?,(A) Their way of living has been hurting the earth. (B) They might not be able to get enough money to move their village. (C) They should make the oil and power companies fix their problems. (D) There are better ways than to move their village to somewhere else.
108,16,篇章大意,What are “Daddy and me” doing in the poem?,(A) Eating. (B) Singing. (C) Dancing. (D) Cooking.
108,20,篇章大意,Why were there seventeen calls asking for Mike?,(A) His team was angry at him. (B) He is a popular soccer player. (C) He did not show up for the game on Friday. (D) His name did not appear on the list of players.
108,23,篇章大意,【題幹未提供】,【選項未提供】
108,26,篇章大意,What idea is talked about in both pieces of news?,(A) More young people need to join in making art. (B) People’s ways of enjoying art change with time. (C) Bringing important art works to Taiwan from abroad. (D) Giving new life to old arts that were almost forgotten.
108,29,篇章大意,Which idea is talked about in the news?,(A) How often we should drink coffee. (B) What happens when we have too much coffee. (C) How to help the body make the cortisol we need. (D) What happens when we have coffee at the wrong time.
107,25,篇章大意,What is the quick lesson of SHARP WEAR about?,(A) How to get to one of SHARP WEAR’s stores. (B) How to send back a T-shirt to SHARP WEAR. (C) How to shop for a T-shirt from SHARP WEAR. (D) How to take care of a T-shirt from SHARP WEAR.
107,27,篇章大意,Which season is this poem about?,(A) Spring. (B) Summer. (C) Autumn. (D) Winter.
107,33,篇章大意,What can we learn about Josh and Eric?,(A) Josh was not able to change Eric’s mind about free coffee. (B) Eric has more hope for the free coffee plan than Josh does. (C) They found a way to make people feel OK to take free coffee. (D) They do not know whether Flora Café will do business honestly.
107,36,篇章大意,Which idea may the writer agree with?,(A) We should stop all kinds of whale hunting. (B) We should not worry about the number of whales. (C) Tribespeople’s way of living is as important as animal lives. (D) Working with the whaling business can make tribespeople’s lives better.
