年度,題號,分類,題幹,選項
112,27,文意推論,"According to the notes, what do birds do if their babies have the smell of people on them?",(A) They keep taking care of them. (B) They push them out of the nest. (C) They clean them until the smell goes away. (D) They leave them behind and move to a new nest.
112,40,文意推論,What does it mean when someone has empathy?,(A) They are good at taking war photos. (B) They like to read other people’s life stories. (C) They are able to understand how other people feel. (D) They are good at helping people change their own lives.
112,41,文意推論,Which is true about Marie Colvin?,(A) The chance to study at Yale made her leave her job in the Middle East. (B) The experience in Sri Lanka did not change her way of reporting news. (C) She was killed in Homs when she was interviewing soldiers there for her report. (D) She was not sure what to do in the future until she worked for the Sunday Times.
111,26,文意推論,What does it mean when you learn something from A to Z?,(A) You can learn it at any time. (B) You learn it in a baking class. (C) You learn everything about it. (D) You spend all your life learning it.
111,28,文意推論,Who might find that Tabata training is right for them?,(A) People who enjoy team sports. (B) People who want to start exercising. (C) People who want to fix their heart problems. (D) People who already have a habit of exercising.
111,34,文意推論,What does resentful mean in the reading?,(A) Sad. (B) Angry. (C) Careful. (D) Worried.
111,35,文意推論,What does Cameroon’s government most likely think of Ambazonia?,(A) It plans to do business with Ambazonia. (B) It needs Ambazonia for money and help. (C) It does not want to be part of Ambazonia. (D) It does not agree that Ambazonia is a country.
111,38,文意推論,,(A) such as (B) for example (C) in other words (D) as a result
110,18,文意推論,What can we learn about Lynn from the dialogue?,(A) She does not cook. (B) She likes to try new food. (C) She did not enjoy the food at Caldron. (D) She changed Joey’s idea about Caldron.
110,19,文意推論,What do we know about Woollie from Katie’s diary?,(A) Woollie was older than Katie. (B) Woollie was taken to visit sick kids. (C) Woollie was sick when he ran away. (D) Woollie looked strange without his fleece.
110,21,文意推論,What happened when Woollie was put down?,(A) He was sold. (B) He couldn’t be found. (C) He died. (D) He became famous.
110,26,文意推論,Which is true about Teachers’ Day from the reading?,"(A) It used to be celebrated on different dates. (B) It was started by students for their teachers. (C) It has been celebrated in Nanjing for over 2,500 years. (D) Teachers decided to celebrate it on Confucius’s birthday."
110,27,文意推論,What was the first date for Teachers’ Day in China?,(A) May 1st. (B) June 6th. (C) August 27th. (D) September 28th.
110,34,文意推論,Which is most likely the order of things that happened?,(A) The war started → Schools closed → The library was built. (B) The library was built → Houses were bombed → People started to read. (C) Ahmad and his friends collected books → The war started → The library opened. (D) People needed books → Ahmad went to look for books → He was killed in a bombing.
109,16,文意推論,What is it in the reading?,(A) The sun. (B) The rain. (C) The wind. (D) The rainbow.
109,17,文意推論,How does Dad feel “when it comes”?,(A) He is scared. (B) He is excited. (C) He is not happy. (D) He is not interested.
109,19,文意推論,"What does Buffy mean by saying, “I’m sure we can get rid of them”?",(A) Her family has too many old things. (B) The yard sale will be a lot of fun. (C) She wants to give these things to other people. (D) These things can be sold quickly at the yard sale.
109,21,文意推論,What should we do after we put the small pot over the bigger pot?,(A) Turn on the heat. (B) Add some sugar. (C) Put in the chocolate. (D) Wait for five minutes.
109,26,文意推論,What does it mean when business is slack?,(A) It is bad. (B) It is for sale. (C) It is growing. (D) It is open every day.
109,32,文意推論,What does it mean when we say a place is uninhabitable?,(A) It is not big. (B) It is not popular. (C) It cannot be bought. (D) It cannot be lived in.
108,17,文意推論,What can we most likely know about the speaker?,(A) He seldom understands his father. (B) He enjoys his time with his father. (C) He often makes goulash for his father. (D) He wants to be as famous as his father.
108,27,文意推論,What does it mean when something is a smash hit?,(A) It is old. (B) It is successful. (C) It is foreign. (D) It is useful.
108,30,文意推論,What does it mean when someone thinks otherwise about something?,(A) They are serious about it. (B) They have no idea about it. (C) They think differently about it. (D) They do not think it is a problem.
108,32,文意推論,Four people read the news and wrote what they thought about it. What did they think about the news?,(A) They wanted to try what it said. (B) They were sad about what it said. (C) They did not agree with what it said. (D) They were not surprised at what it said.
107,28,文意推論,What is a daisy?,(A) A body part. (B) A kind of bird. (C) A kind of flower. (D) A kind of smell.
107,29,文意推論,What does the reading say about shaking?,(A) Different animals’ shaking begins with different body parts. (B) Shaking is a way that animals use to make other animals scared. (C) Animals that are not kept as pets do the shaking better than those that are. (D) Shaking themselves dry may help animals run faster in dangerous moments.
107,37,文意推論,What can we learn from the reading?,"(A) Tribespeople believe whales bring good luck. (B) Tribespeople become rich by selling whale oil. (C) Whaling was not a problem until 1,500 years ago. (D) Whaling helped tribespeople’s lives in different ways."
107,39,文意推論,What is most likely the reason why Carolyn Cole did not show up for the Inscriber Prize?,(A) She was sick and couldn’t come. (B) She was not happy about the result. (C) She wanted to keep her real identity a secret. (D) She thought someone else deserved the prize more.
107,40,文意推論,What can we learn about Thomas Goode?,(A) He has won the Inscriber Prize twice. (B) He told NBN that Paper Soldier was his work. (C) He wants to be more than just a picture book writer. (D) His life as a picture book writer has not been successful.
107,41,文意推論,What do we know about Thomas Goode’s books?,(A) The sales of Parent were bad. (B) Paper Soldier is his best-selling book. (C) His first picture book came out in 2006. (D) Blue Moon was written under a different name.
