年度,題號,分類,題幹,選項
112,24,篇章細節,"Amy went to Four Seasons’ Kitchen with her mother after she collected 15 stars. They ordered two Garden Sandwiches, an Autumn Wind, and a Winter Snow. After using the stars, how much did they pay for their meals?",(A) $290. (B) $230. (C) $220. (D) $160.
112,25,篇章細節,Amy wants to bring her friends to Four Seasons’ Kitchen in August. She looks at her calendar to pick a time to go there. Which are the time and date she can choose?,"(A) 8:30 pm, August 1. (B) 5:00 pm, August 11. (C) 3:00 pm, August 13. (D) 2:00 pm, August 28."
112,26,篇章細節,"According to the notes, which is the WRONG way to help a baby bird that is out of its nest?",(A) Feed it before you take it to a hospital. (B) Leave it alone if it is not hurt and has feathers. (C) Call the animal center if you can’t find its nest. (D) Put it back in its nest if it is not hurt and has few feathers.
112,28,篇章細節,"According to the reading, which is one of the reasons for food waste?",(A) Stores do not know how to pack food well. (B) Farmers do not have enough machines to collect food. (C) There is no refrigerator on the truck to keep food fresh. (D) Factories do not have enough trucks to carry food to stores.
112,29,篇章細節,Which is true about food waste at each stage in the three parts of the world?,"(A) For each area, the highest percentage of food waste happens at Stage 5. (B) Europe has a lower percentage of food waste at Stage 3 than the other two areas. (C) North America & Oceania has a higher percentage of food waste at Stage 1 than Europe. (D) South & Southeast Asia has a higher percentage of food waste at Stage 4 than the other two areas."
112,31,篇章細節,What keeps a mosquito safe in the rain?,(A) It is very light. (B) It has no body hairs. (C) It is as big as a raindrop. (D) It is strong enough to fight the force of a raindrop.
112,32,篇章細節,When would it be dangerous for a mosquito in the rain?,(A) When it flies too close to the ground. (B) When the rain falls too hard and too fast. (C) When it is hit by raindrops too many times. (D) When it drops for more than 6 cm in the rain.
112,34,篇章細節,What do we know about “For Elise” from the reading?,(A) It first appeared in the opera Fidelio. (B) The true “Elise” was Elise Barensfeld. (C) The manuscript was found after Beethoven died. (D) The manuscript is now kept by the city of Vienna.
112,35,篇章細節,What can we learn about the three women from the stories?,(A) They were called “Elise” by their friends. (B) Elisabeth Röckel was a close friend of Beethoven’s. (C) Therese Malfatti changed “For Elise” to “For Therese.” (D) Elise Barensfeld was Beethoven’s student.
111,22,篇章細節,Here is the postcard Jason is going to send to Tea-Rock 20. What else does he need to put on the postcard before he sends it?,(A) His age. (B) His address. (C) His birthday. (D) Another picture of the tea cup.
111,23,篇章細節,Below is an infographic. Which picture shows the information in the infographic?,(A) (B) (C) (D)
111,29,篇章細節,Which is true about Tabata training?,(A) It is difficult to learn the moves. (B) You are free to choose your own moves. (C) You need a large space to do the exercises. (D) You cannot rest between moves if you want the afterburn.
111,32,篇章細節,Look at Figure 1. What can we learn from it?,"(A) More people die from long working hours than from car accidents. (B) The number of people who die from long working hours is increasing every year. (C) Most people in the country think that long working hours are a problem. (D) About 1,000 people die from long working hours in the country every year."
